Pathway level1,Pathway level2,Pathway level3,Description,WHYD200513786_A,DGN16SxfsMAaA_12_117,SLM0122_JX,DGN16SxfsMCaB_22_109,YGF0137_JX,DGN16SxfsMAaA_12_122,YMS0125_JX,HSR0114_JX,SZL0119_JX,WHYD200513765_A,WHYD200513800_A,WHYD200513773_A,JFQ0138_JX,CKH0135_JX,HM0120_JX,FW0124_JX,PXX0136_JX,LMS0134_JX,FMS0129_JX,LGZ0123_JX,DGN16SxfsMCaB_20_109,ZXL0117_JX,LJK0127_JX,DGN16SxfsMCaB_19_109,WY0132_JX,CGH0116_JX,LWM0133_JX,ZJD0111_JX,FQT0113_JX,CWZ0121_JX,DGN16SxfsMCaB_21_109,WHYD200513766_A
Metabolism,Xenobiotics biodegradation and metabolism,ko00983,Drug metabolism - other enzymes,352286.54,308924.54,277782.89,455158.58,338049.95,263920.87,285110.03,275480.82,302845.88,332430.67,448072.73,413448.92,358416.45,159503.15,300487.71,280770.35,326377.59,256340.3,315553.59,339298.84,477608.4,231941.87,647179.7,369815.64,539445.24,305954.09,287728.26,273772.04,475590.47,458841.59,257538.85,347319.7
Metabolism,Energy metabolism,ko00920,Sulfur metabolism,264619.28,253843.06,214261.86,719184.77,278089.17,193943.09,255109.27,225586.52,225657.99,265975.14,469611.74,345722.59,264238.48,232329.74,284588.99,187611.25,282986.79,242842.61,250666.74,266991.32,379402.54,192571.39,1170525.1,493975.2,843778.73,250053.4,230814.53,287477.77,216531.86,654411.6,256184.89,268374.8
Cellular Processes,Cellular community - prokaryotes,ko05111,Biofilm formation - Vibrio cholerae,211580.02,237483.76,181859.88,827341.59,340364.93,234999.38,199068.79,201687.22,242878.52,201682.5,300725.9,288709.27,228607.6,263528.16,225827.79,205465.08,277842.91,217339.53,306471.57,237364.16,298170.65,187674.39,1392761.95,540491.47,940567.33,200748.14,186908.96,280533.3,273671.74,767837.84,222727.11,241308.25
Cellular Processes,Cell motility,ko02030,Bacterial chemotaxis,450185.98,146209.25,256846.58,643816.85,158368.25,465640.51,127451.5,249837.36,215137.58,372879.94,537072.78,89112.65,195788.01,184756.08,255426.9,236554.9,428402.55,228526.48,163341.69,388976.09,396643.98,287244.54,889488.95,506585.32,615209.12,226198.33,386490.28,257872.46,271689.92,466964.98,320369.04,334849.77
Metabolism,Energy metabolism,ko00195,Photosynthesis,377938.72,281510.22,329817.42,351506.83,312039.6,269652.74,322825.98,283222.34,348938.72,454596.34,473324.16,383217.84,414057.44,115205.4,314634.9,280617.06,376360.63,235610.2,344735.46,347565.88,480318.12,256450.82,413627.87,274125.76,350697.42,399284.3,358648.34,219683.62,424602.16,360861.64,306383.9,241097.52
Genetic Information Processing,Replication and repair,ko03420,Nucleotide excision repair,372807.31,285954.89,305010.98,330657.98,350508.55,311768.35,289954.3,277435.83,329647.83,356727.91,464084.2,402755.08,326726.2,125021.89,290971.89,316556.93,330004.65,252084.07,332118.16,349362.22,407939.15,231730.76,405904.74,332942.87,373260.45,305656.4,323838.48,272379.45,447805.77,355351.77,280192.76,426665.25
Metabolism,Lipid metabolism,ko00561,Glycerolipid metabolism,341459.8,239336.34,273356.5,499678.65,390630.54,220852.13,240465.75,234811.07,200031.62,335238.98,553800.91,242496.22,310056.24,151116.27,268214.44,188259.24,282828.3,229981.57,415907.03,290509.91,415068.37,187050.82,686707.96,338578.04,548226.07,288198.55,292731.99,253533.17,257246.34,473117.37,220388.19,399383.02
Metabolism,Metabolism of other amino acids,ko00450,Selenocompound metabolism,280110.63,256462.25,247320.63,488162.73,320240.58,201876.08,235701.63,231621.08,261446.21,268069.67,527436.89,321468.1,266483.79,167365.74,261518.65,219950.68,286142.34,224550.74,269415.75,269861.24,386284.5,191643.67,679388.84,344373.38,552791.74,248446.05,244798.93,268296.43,301430.47,458978.1,252666.31,323099.72
Metabolism,Biosynthesis of other secondary metabolites,ko00521,Streptomycin biosynthesis,317183.69,268708.88,260060.13,218837.06,210454.74,216936.44,261710.49,262876.97,241806.53,288526.21,466791.19,319365.79,316022.05,66738.67,289724.91,263034.77,293852.76,229635.46,225231.56,317942.57,588968.32,205600.64,262963.11,272462.86,313361.49,279318.39,235502.97,250727.86,337248.88,274829.81,243169.98,309886
Metabolism,Carbohydrate metabolism,ko00660,C5-Branched dibasic acid metabolism,254042.03,194654.7,217337.12,374784.41,282795.53,196396.44,205307.03,196412.54,260884.62,239427.52,370175.69,306051.1,243908.59,125309.92,223444.27,152720.69,260050.23,181728.86,269431.84,246962.83,324810.86,167620.59,541900.71,299288.61,413526.18,213060.41,222470.48,196073.44,381316.1,364545.75,203624.43,296524.7
Human Diseases,Drug resistance: antimicrobial,ko01502,Vancomycin resistance,330110.47,221004.02,248190.25,261309.22,249586.29,246682.91,237491.38,210758.13,203749.57,314336.23,426881.71,276171.83,283031.4,98626.67,231195.01,240138.14,246527.98,203071.14,224848.27,283458.29,338587.43,175648.2,345430.95,280068.6,306220.89,261456.99,262747.08,201507.67,306447.95,268802.19,196162.05,412710.92
Environmental Information Processing,Signal transduction,ko04066,HIF-1 signaling pathway,288995.66,201575.23,235561.01,255355.59,308950.13,240563.56,224424.08,213396.13,239425.83,287257.16,411499.94,254695.83,250588.7,89125.09,222830.39,198749.03,242434.02,182460.93,303950.85,262535.14,354782.61,169066.45,321971.65,247578.04,281410.31,244435.4,260337.38,199151.07,269470.85,281042.6,195782.96,335708.19
Metabolism,Glycan biosynthesis and metabolism,ko00511,Other glycan degradation,151265.47,395893.1,206910,135547.49,251578.36,70408.64,259172.94,285993.74,261536.04,71364.32,349516.16,510609.32,197946.2,37481.1,340177.68,118561.09,234393.14,232835.44,334792.59,230012.34,747728.8,212938.9,144085.97,213621.27,339645.62,264672.37,112704.39,416352.94,172368.9,343045.79,357660.29,43277.06
Genetic Information Processing,"Folding, sorting and degradation",ko04122,Sulfur relay system,237997.01,167574.67,209594.53,455157.61,224176.71,193933.75,191575.93,172717.6,143922.37,251887.17,323204.34,208610.37,211529.48,149537.88,197623.07,177381.8,222175.75,176886.19,208839.83,221447.17,268510.7,154213.85,698725.23,318884.18,478289.05,203161.46,218244.55,167547.11,198577.03,400072.58,176958.39,261580.97
Organismal Systems,Endocrine system,ko04922,Glucagon signaling pathway,279668.35,193954.15,233229.23,284872.1,264527.15,221622.06,202242.84,204224.37,186611.59,273539.86,372723.02,209938.47,230646.06,89759,217101.19,182328.29,232049.19,178191.98,282408.73,249878.08,364630.81,166855.92,384636.81,252225.48,307910.95,241671.68,249979.34,187705.66,224146.55,297193.24,193347.88,329447.88
Metabolism,Biosynthesis of other secondary metabolites,ko00261,Monobactam biosynthesis,233803.03,205532.21,202651.15,304974.25,213679.32,186662.35,197539.63,192979.08,205336.88,228155.3,327521.42,275574.66,232135.35,103400.36,213057.74,155453.96,227685.1,174197.43,209404.13,227467.58,326196.29,159090.38,416353.82,253213.46,350923.63,214372.1,202150.97,197720.99,269274.17,303272.4,198531.86,255774.42
Metabolism,Metabolism of other amino acids,ko00460,Cyanoamino acid metabolism,230894.85,225297.3,195543.51,237572.2,211625.28,155179.33,218404.7,221902.7,210563.69,215862.71,358023.05,287968.32,236115.66,70116.8,247831.33,148479.18,215959.82,180138.65,236803.14,238683.61,439976.78,165742.62,307664.96,200676.32,306398.46,231197.68,204016.09,191138.54,206039.81,286177.82,191854.48,202125.15
Human Diseases,Cancer: overview,ko05230,Central carbon metabolism in cancer,211604.77,185375.47,187906.94,258553.22,265581.53,172846.16,180161.71,178531.03,173306.15,202870.07,320176.02,177831.58,189384.39,86807.61,188275.17,162267.56,196154.12,158179.5,275233.59,202938.05,338053.13,138542.43,360142.38,225963.59,300106.14,199539.28,187373.84,189495.91,180859.95,289955.59,171869.99,232273.47
Metabolism,Metabolism of other amino acids,ko00480,Glutathione metabolism,112828.79,143811.87,124519.97,491148.12,221273.08,92242.11,138209.53,118341.43,188561.3,107431.2,178680.85,204432.64,159137.02,164553.49,168421.31,130961.69,180735.91,131404.13,188389.55,124713.57,209982.41,116317.59,784815,282638.83,538012.99,124886.2,105348.58,155295.81,254339.46,442503.63,135299.27,147073.45
Metabolism,Amino acid metabolism,ko00280,"Valine, leucine and isoleucine degradation",156133.46,206260.54,126622.84,277226.44,303780,131470.1,152793.42,158048.82,128256.96,138395.85,250390.5,254997.38,177379.6,116541.26,217261.85,163816.34,178161.91,159364.51,288653.68,168703.64,301950.96,121967.52,432842.37,268669.51,351241.48,150956.49,115016.97,182377.98,257290.65,319126.07,149857.71,106578.76
Human Diseases,Infectious disease: bacterial,ko05132,Salmonella infection,218696.73,153865.92,170550.63,226394.35,175186.67,184248.76,155926.43,157272.31,180536.59,204457.22,253725.02,185112.17,171513.95,74608.89,152955.21,160767.67,196937.67,142106.47,161784.47,201868.81,288781.57,136412.43,316475.08,208201.3,245145.29,168481.77,183000.15,136481.54,207383.06,218056.1,164582.89,236862.38
Metabolism,Metabolism of cofactors and vitamins,ko00750,Vitamin B6 metabolism,172659.96,158565.96,133860.28,259023.15,236563.52,142910,142866.04,142467.9,191734.03,152767.86,217903.39,240556.64,154576.31,83153.61,154161.7,149730.06,170501.46,134042.5,243404.1,166978.42,244053.05,123719.83,404402.28,212137.3,307438.74,153290.46,144375.15,149394.76,204684.16,290876.11,154334.7,190570.15
Cellular Processes,Cell growth and death,ko04217,Necroptosis,213453.14,164415.56,187526.71,186016.78,188255.05,181748.7,162572.19,158065.59,157493.08,224901.39,255061.3,184337.01,186972.74,62104.12,172012.83,136691.01,180553.65,139161.14,202013.9,198294.37,280962.08,133430.8,251549.37,166707.12,205849.97,190715.38,190973.63,131051.07,184356.71,211587.68,153252.08,281219.26
Metabolism,Metabolism of cofactors and vitamins,ko00740,Riboflavin metabolism,151017.61,147524.03,133065.02,255547.72,214870.42,93337.01,137849.41,142013.87,204351.02,133490.84,195105.86,234649.48,152201.55,95229.69,151414.81,168413.71,174713.73,120359.5,193636.48,156515.65,207850.03,125769.81,396757.13,222584.57,299741.16,144965.78,135053.74,145361.92,255036.91,271171.79,159130.42,97302.93
Human Diseases,Drug resistance: antineoplastic,ko01523,Antifolate resistance,175182.51,156967.25,148573.65,183861.35,224512.43,130094.73,150581.79,145171.96,179801.57,155098.25,261493.78,255926.74,169808.92,65662.04,156243.4,163866.29,179201.24,133134.38,220929.97,171679.44,233203.47,126762.19,240359.35,173290.65,215906.52,160728.32,156732.88,154974.33,272358.27,216080.34,163819.76,170173.13
Metabolism,Amino acid metabolism,ko00360,Phenylalanine metabolism,145204.09,180254.46,134384.27,182158.9,268261.55,141147.99,160298.19,141056.42,179020.9,144728.2,244761.39,244981.13,138844.8,78056.46,194461.65,125315.66,157320.13,146103.69,242819.64,158374.07,248759.43,118275.78,267848.46,177174.97,242410.59,145742.29,138749.51,179953.01,185748.22,248756.63,166321.41,152669.21
Metabolism,Lipid metabolism,ko00600,Sphingolipid metabolism,154329.8,223833.73,155616.91,139974.49,202299.11,54285.85,168228.24,190998.99,147530.77,108147.03,296039.94,240468.27,166759.34,32809.55,200660.38,62492.7,178824.72,148821.15,267830.37,179820.12,480807.56,138963.59,155959.39,150868.93,238889.78,186124.1,133013.1,230040.92,106415.62,235602.99,207371.34,58960.37
Metabolism,Amino acid metabolism,ko00310,Lysine degradation,109725.18,133004.31,79211.7,381461.48,192001.83,86248.98,95385.64,99730.96,85895.15,94402.75,215865.1,110633.5,121241.7,135315.09,132692.14,198178.08,123541.11,125326.27,161539.93,109217.23,191786.04,78194.48,640207.24,275906.46,453833.4,94313.56,83748.98,140704.89,141985.67,353331.68,85883.27,93305.31
Organismal Systems,Environmental adaptation,ko04626,Plant-pathogen interaction,185920.93,137978.66,146689.26,216413.27,142699.71,146354.24,130955.65,142335.46,166582.68,165217.71,196373.67,172077.49,140320.96,67413.97,146920.38,131198.31,169181.03,123647.78,132151.17,177343.02,227819.44,123357.58,300321.94,186641.02,235169.79,146501.53,150792.58,129807.01,190980.84,207050.91,154014.84,187741.16
Metabolism,Lipid metabolism,ko00071,Fatty acid degradation,126529.89,137996.86,104918.19,298592.95,146308.14,97284.1,125267.3,127562.49,103543.73,124189.38,238105,188763.96,134437.91,97630.74,153698.86,153422.59,125209.82,127131.64,119210.07,131581.94,207220.98,98165.98,471379.28,226686.8,365206.61,121294.42,107674.38,135468,146255.64,279343.64,113046.84,102318.06
Human Diseases,Cardiovascular disease,ko05418,Fluid shear stress and atherosclerosis,176204.31,141847.91,141594.87,186836.82,155687.73,152724.01,138919.38,131245.17,141782.88,168110.33,220716.78,166972.93,151056.68,63178.46,143883.85,138938.06,150288.73,124457.35,148455.92,164598.45,250529.58,111155.54,263107.06,172637.9,211593.82,146136.34,144509.1,115492.63,147277.3,191143.44,128890.94,206372.36
Metabolism,Metabolism of cofactors and vitamins,ko00130,Ubiquinone and other terpenoid-quinone biosynthesis,65475.24,90659.29,43459.16,407948.07,204933.09,30009.12,67474.11,87082.16,143673.87,30539.87,64530.96,240053.37,98355.4,150118.38,98434.09,94023.04,130519.66,100212.82,215870.12,83473.18,130619.34,75263.89,690160.08,285272.14,467718.08,77478.58,30023.53,137734.14,252151.43,397771.43,84605.11,10484.85
Organismal Systems,Aging,ko04212,Longevity regulating pathway - worm,154688.86,124099.7,115795.16,234754.78,149130.94,125355.55,121071.3,126664.73,124034.75,139347.57,163769.23,199665.94,139840.23,84174.11,129226.21,127053.01,144477.77,114371.99,134972.72,146823.36,175344.59,100075.47,351910.79,204758.12,267550.63,126208.86,121147.23,115941.52,206238.02,224337.44,111884.3,162921.46
Metabolism,Metabolism of terpenoids and polyketides,ko00523,Polyketide sugar unit biosynthesis,174271.86,148660.64,155384.66,108348.32,109353.35,121065.62,142117.06,141920.54,128104.53,169630.31,249758.64,171045.03,181808.3,29039.94,153818.02,162751.1,166182.51,122767.91,123366.89,174258.56,333269.49,110988.75,118923.16,138508.3,150208.57,161460.89,134749.31,129543.85,203577.36,133582.82,137185.92,183453.64
Metabolism,Amino acid metabolism,ko00350,Tyrosine metabolism,119210.09,116630.15,99266.71,219435.94,151865.7,107003.2,120528.19,114860.44,136938.55,126375.03,202064.8,184814.55,124910.91,71682.12,127088.67,81684.17,130922.1,108481.31,133533.84,125135.8,196237.6,89154.19,311685.13,169747.65,250756.18,117818.29,102628.8,122751.09,142464.41,214416.56,115185.68,124839.06
Genetic Information Processing,Transcription,ko03020,RNA polymerase,159423.47,113369.46,125069.88,154488.96,176826.06,148776.72,118638.01,114169.18,134291.95,151265.55,188179.52,161514.38,126153.39,56366.23,116737.9,150157.33,139127.1,104325.74,170466.92,146216.53,184306.03,94591.05,196570.05,150014.15,159997.7,125648.8,136876.13,99412.14,168482.73,163531.24,111237.77,197951.45
Cellular Processes,Transport and catabolism,ko04142,Lysosome,70696.74,243891.34,111716.55,44256.23,133913.24,38533.03,152289.21,149453.92,145943.21,23425.14,164706.03,347122.92,118275.76,19261.7,202264.36,76414.83,129716.44,143511.77,179648.02,122871.04,468458.45,111792.02,46896.89,131127.17,181727.36,148446.71,39237.98,253851.62,105568.76,181179.94,211063.6,18380.46
Organismal Systems,Immune system,ko04621,NOD-like receptor signaling pathway,171160.83,118483.06,134929.09,132283,119610.73,144413.84,113238.35,122901.21,124120.15,159164.79,206646.75,134855.79,129608.23,43037.52,116162.02,121532.87,153632.18,108573.38,121284.27,157205.66,240154.24,105784.05,167032.93,136574.53,142559.4,131555.04,143917.32,100330.5,151843.01,133856.81,133887.22,183143.94
Metabolism,Biosynthesis of other secondary metabolites,ko00333,Prodigiosin biosynthesis,166271.19,126557.47,139680.29,123835.33,114631.77,122336.32,128593.06,128167.28,110142.42,160001.07,202252.68,158872.71,142854.49,43532.99,141801.09,111840.1,131414.19,113881.53,115036.87,154544.14,195443.14,106884.45,156990.3,152628.06,152548.22,137101.63,139851.84,111257.61,166150.67,131814.84,117383.44,191878.39
Cellular Processes,Transport and catabolism,ko04146,Peroxisome,95652.11,132761.98,94918.31,183974.36,120547.56,55598.15,117177.84,127874.23,124668.29,74666.06,186090.24,236277.86,115272.25,62476.63,144981.24,99437.49,128303.95,108447.29,111969.23,118085.31,205539,94378.92,261288.06,162962.93,239456.37,107805.42,87649.81,132987.66,193339.84,200335.38,125327.68,70284.21
Metabolism,Metabolism of other amino acids,ko00471,D-Glutamine and D-glutamate metabolism,138927.94,114845.56,114383.82,156294.72,144785.05,116522.52,113967.76,107295.34,120831.62,128059.23,164024.48,158082.54,120487.48,58646.27,108576.22,127031.01,125225.33,100023.41,128300.41,133633.77,167315.12,88172.82,215142.79,144718.43,173676.85,115501.82,111837.61,101579.93,157769.55,162609.67,106375.76,158486.42
Human Diseases,Infectious disease: bacterial,ko05152,Tuberculosis,133534.21,109301.02,110652.93,133643.64,131027.17,116481.05,108910.41,108384.8,117205.56,132047.93,154018.86,143643.55,119081.5,48293.24,114107.55,113585.11,120998.2,93015.37,127917.92,128601.84,168708.14,89257.57,182608.95,133502.68,154306.81,115811.61,115595.62,94932.07,157203.54,144761.82,102995.55,157955.76
Human Diseases,Infectious disease: bacterial,ko05134,Legionellosis,138445.27,96187.52,107405.69,145374.76,129978.93,114762.46,91789.92,107090.12,128688.14,124746.54,163786.6,136962.09,103253.49,49918.03,96696.98,102806.16,134286.4,85032.64,124616.81,129748.02,157755.76,92829.72,191825.41,137882.37,146815.33,107928.79,115398.85,85955.81,167817.31,144463.98,112250.67,134364.94
Metabolism,Biosynthesis of other secondary metabolites,ko00401,Novobiocin biosynthesis,116927.96,98755.87,92233.25,137607.86,163994.82,119848.19,104112.4,94921.82,140668.95,114872.5,142087.02,149442.5,98681.64,50294.56,97608.24,84130.89,116750.97,86272.58,142895.02,121364.62,155168.99,82067.72,181094.71,130087.21,142416.77,99482.27,104387.8,89928.79,127931.7,150676.48,101343.25,111456.39
Metabolism,Metabolism of other amino acids,ko00410,beta-Alanine metabolism,78822.13,88570.41,73702.73,267358.72,126376.93,45719.73,67105.59,78063.92,45828.35,70443.62,153696.4,97389.69,78176.28,81525.35,79605.9,94452.48,89242.37,79315.87,107062.92,81200.51,117813.52,62283.94,438565.04,188625.26,298820.56,68361.96,71091.01,83476.25,119952.99,237710.74,67390.21,67296.4
Metabolism,Carbohydrate metabolism,ko00053,Ascorbate and aldarate metabolism,52587.19,81186.52,56792.74,326492.55,78552.46,27536.31,66348.67,64577.99,46600.47,55719.01,218870.13,90310.47,92200.89,93214.04,89470.38,38367.11,85437.86,81422.13,65541.95,63542.61,151798.61,49981.51,482738.65,168407,362205.61,68453.64,43248.07,109985.48,93436.42,256077.23,65327.32,39315.16
Metabolism,Metabolism of other amino acids,ko00430,Taurine and hypotaurine metabolism,101261.2,110103.64,89302.32,183337.59,108582.12,73574.89,92277.53,91881.86,96134.71,93790.09,167785.91,103456.44,95183.07,63618.38,106393.24,96887.47,103760.46,85274.43,75449.82,107181.52,126487.04,72537.95,265543.44,141134.68,213487.31,86015.32,86202,96214.27,121635.17,171062.98,88567.49,113544.45
Cellular Processes,Cellular community - prokaryotes,ko02025,Biofilm formation - Pseudomonas aeruginosa,100626.27,69780.31,80503.89,219576.93,98300.26,85774.55,55354.77,91116.11,101289.42,86827.93,147108.32,104190.91,73080.9,69868.68,72344.31,62023.89,125317.85,75017.59,92451.74,101392.81,126464.93,85604.86,317754.07,161140.29,228375.56,70646.48,92588.15,86775.07,150248.89,183381.41,99897.83,94482.89
Organismal Systems,Nervous system,ko04727,GABAergic synapse,117123.73,107303.08,103625.26,151134.72,80495.54,101597.72,96054.66,97119.67,80595.15,111020.33,127865.64,84625.48,101121.14,47748.02,104661.22,82070.92,99824.12,88161.26,84951,117244.21,166326.28,77019.18,235865.96,131572.1,187952.64,107458.21,94601.72,99039.05,79782.65,162731.71,90448.63,147943.97
Metabolism,Biosynthesis of other secondary metabolites,ko00940,Phenylpropanoid biosynthesis,119700.97,111084.9,87756.14,116798.43,89475.93,48313.02,100050.14,124517.08,93268.65,99730.11,220851.59,132633.8,115316.49,26277.57,116918.11,50613.53,100938.76,80438.48,102461.04,122419.53,263249.85,80115.59,131715.21,92222.15,158606.27,117048.16,102758.3,98550.31,59431.21,140076.99,82652.51,66399.75
Metabolism,Amino acid metabolism,ko00380,Tryptophan metabolism,73087.75,84741.26,49152.49,236101.41,107933.84,50820.41,67163.25,68309.19,55590.68,54869.01,146505.25,100690.79,85522.36,82821.56,95979.18,88808.15,82590.47,84134.25,82526.37,72419.34,136601.3,49620.6,388292.92,177745.38,290795.3,52006.29,47640.23,96758.45,121941.97,210101.94,56058.13,48230.08
Metabolism,Glycan biosynthesis and metabolism,ko00603,Glycosphingolipid biosynthesis - globo and isoglobo series,99661.31,139297.97,88138.69,51958.91,138331.98,33842.35,104685.12,102029.69,95655.18,69541.39,166977.09,177866.01,114857.9,14946.9,119754.73,43213.62,106086.79,95893.01,179962.17,106943.96,324293.81,75705.06,66363.83,93414.99,124390.63,114410.69,72760.36,143985.36,59554.9,132659.52,118676.41,41207.66
Organismal Systems,Endocrine system,ko03320,PPAR signaling pathway,93781.79,111878.96,77095.56,88060.26,98603.24,66762.4,96613.95,101699.36,103819.12,69676.58,140030.38,157571.11,86289.32,30272,122984.48,104252.72,87410.99,91276.06,90369.44,105752.82,154355.03,80008.16,122459.64,112801.65,135847.01,87231.83,74016.21,101820.6,139611.15,120965.02,103356.78,82047.74
Human Diseases,Endocrine and metabolic disease,ko04931,Insulin resistance,121598.99,77736.16,95468.28,109780.75,96676.65,93708.3,78287.38,78434.92,75304.54,116170.44,155063.63,93107.91,97203.92,33368.73,83344.82,77525.31,99166.93,70509.76,108766.46,104696.17,140408.99,71616.27,148747.44,94971.37,117548.26,100924.4,105690.14,67926.35,110121.73,113751.37,78219.6,153228.89
Metabolism,Biosynthesis of other secondary metabolites,ko00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",74833.83,81735.49,63971.72,137420.77,146819,83667.82,80043.82,73845.12,122184.08,74732.49,112552.89,134770.97,75015.59,48490.82,76357.92,69734.03,95923.33,68753.23,132779.94,88444.82,128320.67,63827.97,201302.48,111651.98,151004.06,74895.76,71232.79,78316.05,113149.68,155044.99,82582.44,61086.79
Metabolism,Xenobiotics biodegradation and metabolism,ko00362,Benzoate degradation,91543.05,93803.33,72764.56,154768.79,166365.07,81799.05,73332.37,58863.7,64751.62,87850.52,149958.97,89029.96,59591.63,70506.42,90234.14,71574.16,74013.37,76129.33,114535.24,82296.62,97044.39,58693.57,240354.54,126486.52,176510.52,63435.44,86109.87,74833.81,59830.63,150731.36,73194.41,99798.63
Metabolism,Metabolism of other amino acids,ko00473,D-Alanine metabolism,106817.88,78686.48,86780,121312.16,110883.52,87532.65,80313.73,72042.02,77602.53,105309.56,137762.66,100311.38,97717.66,45147.61,81163.66,88035.07,88407.74,69048.96,103337.44,94032.13,116967.18,58639.73,173145.14,104146.17,134050.28,88192.12,84313.39,67442.69,109744.1,122798.06,67215.24,149563.73
Environmental Information Processing,Signal transduction,ko04152,AMPK signaling pathway,122864.23,80940.72,100251.1,87462.83,84967.46,85945.5,82729.66,91966.84,63618.87,117453.04,179857.33,95601.62,97441.96,28724.61,100318.1,61641.24,93813.57,76521.41,91191.63,109607.87,152510.18,71710.69,113361.12,86416.48,109693.09,102576.22,110944.77,81346,88601.89,98653.71,82437.43,141327.87
Organismal Systems,Nervous system,ko04724,Glutamatergic synapse,110688.18,95250.04,99170.62,94907.54,71288.23,99724.67,88623.07,87714.68,76023.15,109962.77,122824.07,81649.01,93892.51,31322.08,96225.28,77209.41,87308.89,78331.11,77469.48,108253.36,146453.12,71386.19,136206.27,96841.02,121904.48,100446.67,93257.67,83960.46,74499.51,111888.47,81859.41,146901.92
Metabolism,Glycan biosynthesis and metabolism,ko00531,Glycosaminoglycan degradation,62778.89,127312.79,68113.21,51117.91,96745.58,50652.28,88040.7,86728.2,86695.85,30098.46,89467.38,179952.72,75613.96,22258.15,106856.61,47727.9,86876.31,88822.92,114801.73,87396.29,258891.98,64350.46,86088.44,112075.88,129565.2,78641.22,37530.26,147684.16,60546.54,117775.54,111911.4,46401.29
Metabolism,Metabolism of terpenoids and polyketides,ko01051,Biosynthesis of ansamycins,101094.49,70134.79,83298.38,103169.83,91042.27,79195.77,79602.78,61641.94,64333.2,92719.21,192801,60377.05,87485.09,38591.98,84229.42,65811.03,81192.43,71081.94,78827.9,94531.42,108713.57,60277.85,145746.44,93607.93,131281.65,77869.16,87544.26,86170.91,84790.7,101765.91,70631.26,110802.47
Metabolism,Global and overview maps,ko01220,Degradation of aromatic compounds,91806.76,69435.39,75683.23,141944.81,76200.73,41137.15,77855.94,75777.25,41605.26,91530.76,144198.55,83805.68,79644.31,44268.91,81446.77,25647.59,74028.36,70932.99,79993.46,78231.49,114190.37,50621.31,198931.17,109903.36,162442.3,89481.93,66045.18,76630.35,46446.74,135509.61,69793.81,145285.89
Human Diseases,Infectious disease: bacterial,ko05120,Epithelial cell signaling in Helicobacter pylori infection,87961.24,67129.93,71317.85,98224.28,102021.41,75816.98,71198.82,66016.71,77954.84,85040.74,133428.01,96089.26,78834.75,35473.58,68150.15,91078.23,80057.32,60058.83,100124.82,81694.03,98086.54,53905.9,139653.37,85165.27,108620.08,74900.64,75330.33,58533.55,103544.61,108987.09,63546.8,105979.07
Human Diseases,Cancer: overview,ko05206,MicroRNAs in cancer,108784.42,65226.03,82141.94,106090.6,61240.38,62475.64,75778.01,64518.36,63369.12,97167.17,76323.18,45509.72,83539.08,43822.54,64672.7,46828.08,81884.22,68318.05,56439.22,98499.7,81306.77,61066.44,167169.42,95835.99,120779.4,84755.18,78478.75,69154.1,96202.07,107413.04,62686.19,132870.32
Metabolism,Metabolism of other amino acids,ko00440,Phosphonate and phosphinate metabolism,41420.34,60791.73,42423.03,197919.38,88897.2,32955.77,46676.03,43609.18,51753.33,38352.8,85319.53,92941.57,56633.46,60420.61,62386.4,34422.14,59349.77,57724.42,92940.68,44731.75,51436,38412.95,320727.45,119816.4,227728.84,53482.6,30447.42,81233,65204.26,191682.85,53800.72,52979.64
Metabolism,Carbohydrate metabolism,ko00562,Inositol phosphate metabolism,66661.77,70769.79,51933.69,92392.17,88222.42,49084.78,69717.49,67126.74,80006.43,51247.98,150842.4,97982.69,71937.55,34899.89,93279.5,54447.65,68955.39,64510.72,86999.38,70873.6,131671.75,54140.86,125114.9,83122.11,127601.57,63751.12,48238.59,87311.36,75355.37,121279.61,66285.01,59384.11
Human Diseases,Infectious disease: bacterial,ko05130,Pathogenic Escherichia coli infection,47546.24,35495.48,35810.21,242898.8,62711.66,40132.91,43203.74,34640.76,56416.44,45544.09,47565.99,52854.1,49800.44,74575.8,36844.19,39501.13,58317.49,39828.9,41339.92,46650.43,48911.05,30684.38,414653.11,141545.31,263162.6,37836.12,39116.16,48631.28,61955.28,199966.18,30729.67,53754.11
Environmental Information Processing,Signal transduction,ko04070,Phosphatidylinositol signaling system,75505.94,67160.46,63712.41,105475.53,64680.66,56636.35,73234.28,68743.81,49629.89,69209.64,100759.68,111432.19,74187.5,33545.9,83955.54,60880.32,66320.48,64734.82,62939.04,72622.44,87257.02,50719.85,157615.45,92758.84,128690.58,70735.64,53641.42,65027.95,94362.25,105863.64,65380.32,99832.27
Metabolism,Biosynthesis of other secondary metabolites,ko00525,Acarbose and validamycin biosynthesis,81133.12,64976.35,70920.52,72892.26,63157.62,63970.03,61785.66,70005.06,63299.06,79502.54,115648.31,84524.47,82373.05,20052.34,71315.37,87403.98,81253.14,59037.73,69336.07,83154.31,170618.17,53420.89,92483.14,82916.82,88468.66,73403.26,65215.45,59676.74,100036.98,84189.77,64519.19,72964.2
